clave,descripcion,clave_transporte,nacionalidad,designador_iata,linea_ferrea
PM001,Rosarito,02,México,,
PM002,La Misión,02,México,,
PM003,El Sauzal,02,México,,
PM004,Marina Coral,02,México,,
PM005,Ensenada,02,México,,
PM006,Punta China,02,México,,
PM007,San Quintín,02,México,,
PM008,Isla Cedros,02,México,,
PM009,Venustiano Carranza,02,México,,
PM010,Bahía de los Ángeles,02,México,,
PM011,Puertecitos,02,México,,
PM012,San Felipe,02,México,,
PM013,Costa Azul,02,México,,
PM014,Bahía Colonet,02,México,,
PM015,La Paz,02,México,,
PM016,Pichilingue,02,México,,
PM017,Puerto de Loreto,02,México,,
PM018,Puerto de Santa Rosalía,02,México,,
PM019,Puerto Escondido,02,México,,
PM020,San Carlos,02,México,,
PM021,Cabo San Lucas,02,México,,
PM022,Guerrero Negro,02,México,,
PM023,Santa María,02,México,,
PM024,Isla San Marcos,02,México,,
PM025,Adolfo López Mateos,02,México,,
PM026,San Juan de la Costa,02,México,,
PM027,Punta prieta,02,México,,
PM028,San José del Cabo,02,México,,
PM029,Los Barriles,02,México,,
PM030,Mulege,02,México,,
PM031,Isla del Carmen,02,México,,
PM032,Campeche,02,México,,
PM033,Cayo Arcas,02,México,,
PM034,Seybaplaya,02,México,,
PM035,Isla Arena,02,México,,
PM036,San Francisco,02,México,,
PM037,Lerma,02,México,,
PM038,Champotón,02,México,,
PM039,Sabancuy,02,México,,
PM040,Isla Aguada,02,México,,
PM041,Emiliano Zapata,02,México,,
PM042,Nuevo Campechito,02,México,,
PM043,Takuntah,02,México,,
PM044,Yúum K'ak Naab,02,México,,
PM045,Puerto Chiapas,02,México,,
PM046,Manzanillo,02,México,,
PM047,San Pedrito,02,México,,
PM048,Laguna de Cuyutlán,02,México,,
PM049,Acapulco,02,México,,
PM050,Zihuatanejo,02,México,,
PM051,Butaba,02,México,,
PM052,Vicente Guerrero,02,México,,
PM053,Puerto Marqués,02,México,,
PM054,Puerto Vallarta,02,México,,
PM055,Barra de Navidad,02,México,,
PM056,Lázaro Cárdenas,02,México,,
PM057,San Blas,02,México,,
PM058,Nuevo Vallarta,02,México,,
PM059,Cruz de Huanacaxtle,02,México,,
PM060,Chacala,02,México,,
PM061,Salina Cruz,02,México,,
PM062,Bahías de Huatulco,02,México,,
PM063,Puerto Escondido,02,México,,
PM064,Puerto Angel,02,México,,
PM065,Puerto Juárez,02,México,,
PM066,Isla Mujeres,02,México,,
PM067,Cancún,02,México,,
PM068,Puerto Morelos,02,México,,
PM069,Playa del Carmen,02,México,,
PM070,Punta Venado,02,México,,
PM071,Puerta Aventuras,02,México,,
PM072,Punta Allen,02,México,,
PM073,Majahual,02,México,,
PM074,La Aguada,02,México,,
PM075,Xcalac,02,México,,
PM076,Chetumal,02,México,,
PM077,Holbox,02,México,,
PM078,Mazatlán,02,México,,
PM079,Topolobampo,02,México,,
PM080,Altata,02,México,,
PM081,El Sábalo,02,México,,
PM082,Escuinapa,02,México,,
PM083,Teacapan,02,México,,
PM084,Guaymas,02,México,,
PM085,Puerto Peñasco,02,México,,
PM086,Golfo de Santa Clara,02,México,,
PM087,Bahía Kino,02,México,,
PM088,Yavaros,02,México,,
PM089,Puerto Libertad,02,México,,
PM090,General Rodolfo Sánchez Toboada,02,México,,
PM091,San Carlos,02,México,,
PM092,Dos Bocas,02,México,,
PM093,Frontera,02,México,,
PM094,Chiltepec,02,México,,
PM095,Sanchez Magallanes,02,México,,
PM096,Puerto Altamira,02,México,,
PM097,Puerto Tampico,02,México,,
PM098,Puerto Matamoros,02,México,,
PM099,La Pesca,02,México,,
PM100,Puerto de Veracruz,02,México,,
PM101,Tuxpan,02,México,,
PM102,Coatzacoalcos,02,México,,
PM103,Pajaritos,02,México,,
PM104,Alvarado,02,México,,
PM105,Tlacotalpan,02,México,,
PM106,Nautla,02,México,,
PM107,Tecolutla,02,México,,
PM108,Puerto Progreso,02,México,,
PM109,Celestún,02,México,,
PM110,Sisal,02,México,,
PM111,Chuburná,02,México,,
PM112,Yucalpetén,02,México,,
PM113,Telchac,02,México,,
PM114,Chabihau,02,México,,
PM115,Dzilam de Bravo,02,México,,
PM116,San Felipe,02,México,,
PM117,Río Lagartos,02,México,,
PM118,Las Coloradas,02,México,,
PM119,El Cuyo,02,México,,
PM120,Extranjera,02,Extranjera,,
EA0001,Konrad Adenauer,03,Alemania,CGN,
EA0002,Rhein-Ruhr,03,Alemania,DUS,
EA0003,Münster/Osnabrück,03,Alemania,FMO,
EA0004,Rhein-Main,03,Alemania,FRA,
EA0005,Hannover,03,Alemania,HAJ,
EA0006,Fuhlsbüttel,03,Alemania,HAM,
EA0007,Frankfurt-Hahn,03,Alemania,HHN,
EA0008,Franz Josef Strauss,03,Alemania,MUC,
EA0009,Nürnberg,03,Alemania,NUE,
EA0010,Prince Mohammad Bin Abdulaziz,03,Arabia Saudita,MED,
EA0011,Ingeniero Aeronáutico Ambrosio L.V. Taravella,03,Argentina,COR,
EA0012,Ministro Pistarini,03,Argentina,EZE,
EA0013,Astor Piazzolla,03,Argentina,MDQ,
EA0014,Gobernador Francisco Gabrielli,03,Argentina,MDZ,
EA0015,Teniente General Benjamín Matienzo,03,Argentina,TUC,
EA0016,Vienna,03,Austria,VIE,
EA0017,Grand Bahamas,03,Bahamas,FPO,
EA0018,Lynden Pindling,03,Bahamas,NAS,
EA0019,San Salvador,03,Bahamas,ZSA,
EA0020,Grantley Adams,03,Barbados,BGI,
EA0021,Brussels,03,Bélgica,BRU,
EA0022,Liege,03,Bélgica,LGG,
EA0023,Ostend-Brugge,03,Bélgica,OST,
EA0024,Philip S.W. Goldson,03,Belice,BZE,
EA0025,Jorge Wilsterman,03,Bolivia,CBB,
EA0026,El Trompillo,03,Bolivia,SRZ,
EA0027,Viru Viru,03,Bolivia,VVI,
